'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'68;'295147905179352825856;'297274491920375905804;'590295810358705651711;'35;'10404607217213156703140;'0,000000000;'88372123546517642499605008601632686997504;'0;'68;'2;'2126586741023079948;'100000001110110000011001001110101111110110010101111000111111000001100;'2126586741023079948;'293021318438329745907;'0,00721;'ímpar;'0;'442721857769029238784,000;'442721857769029238783;'442721857769029238784;'69,000;'297274491920375905804;'442721857769029238783;'145447365848653332979;'-297274491920375905805;'594548983840751811608;'148637245960187952902;'295147905196532695039;'590295810341525782528
'69;'590295810358705651712;'970436974005023690481;'1180591620717411303423;'34;'32994857116170805476354;'0,000000000;'941747920516027038121678514038939230142464;'0;'69;'0;'380141163646318038769;'1101001001101110000100101101100100001100011010011011000100111011110001;'380141163646318038769;'210154646712387612942;'0,64398;'par;'0;'885443715538058477568,000;'885443715538058477567;'885443715538058477568;'70,000;'675289068825670864625;'1180591620717411303423;'505302551891740438798;'-970436974005023690482;'1940873948010047380962;'485218487002511845240;'590295810367295586303;'1180591620648691826688
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'74;'18889465931478580854784;'22538323240989823823367;'37778931862957161709567;'33;'743764666952664186171111;'0,000000000;'507976014515342050606639984964846973939089408;'0;'74;'0;'3648857309511242968583;'100110001011100111000010001010001101000011010100001001100110110111000000111;'3648857309511242968583;'15240608621967337886200;'0,19317;'ímpar;'0;'28334198897217871282176,000;'28334198897217871282175;'28334198897217871282176;'75,000;'22538323240989823823367;'28334198897217871282175;'5795875656228047458808;'-22538323240989823823368;'45076646481979647646734;'11269161620494911911683;'18889465931482875822079;'37778931858559115198464
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'79;'604462909807314587353088;'1105520030589234487939456;'1208925819614629174706175;'37;'40904241131801676053759872;'0,000000000;'1222174538034022014084796703402970290272000278528;'0;'79;'7;'501057120781919900586368;'11101010000110100101110001100110110111001100000100011011010110101101000110000000;'501057120781919900586368;'103405789025394686766719;'0,82893;'ímpar;'0;'906694364710971881029632,000;'906694364710971881029631;'906694364710971881029632;'80,000;'803288575685577194262912;'1208925819614629174706175;'405637243929051980443263;'-1105520030589234487939457;'2211040061178468975878912;'552760015294617243969728;'604462909807383306829823;'1208925819605833081683968
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
